Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;
22.08.19;18:52:52;1;0;0.1770;0.1740;0.1525;0.1784;0.1529;0.1505;0.1426;0.1407;0.3863;0.3956;0.3892;0.4093;0.3897;0.4088;0.3657;0.3608;0.542;0.560;0.608;0.564;0.608;0.632;0.610;0.610;
22.08.19;18:52:51;2;0;0.1770;0.1740;0.1525;0.1784;0.1529;0.1505;0.1426;0.1407;0.3863;0.3956;0.3892;0.4093;0.3897;0.4088;0.3657;0.3608;0.542;0.560;0.608;0.564;0.608;0.632;0.610;0.610;
22.08.19;18:52:51;3;0;0.1770;0.1740;0.1525;0.1784;0.1529;0.1505;0.1426;0.1407;0.3863;0.3956;0.3892;0.4093;0.3897;0.4088;0.3657;0.3608;0.542;0.560;0.608;0.564;0.608;0.632;0.610;0.610;
